iter	Passed	Remaining
0	58	58248
1	58	29176
2	58	19500
3	58	14658
4	59	11745
5	59	9806
6	59	8423
7	59	7388
8	59	6580
9	60	5941
10	60	5408
11	60	4965
12	60	4590
13	60	4268
14	60	3988
15	60	3745
16	61	3530
17	61	3339
18	61	3168
19	61	3014
20	61	2876
21	61	2748
22	61	2633
23	62	2526
24	62	2429
25	62	2341
26	62	2257
27	62	2179
28	62	2107
29	63	2038
30	63	1976
31	63	1917
32	63	1861
33	63	1808
34	63	1759
35	63	1712
36	64	1668
37	64	1625
38	64	1585
39	64	1547
40	64	1512
41	64	1478
42	64	1445
43	65	1416
44	65	1386
45	65	1357
46	65	1330
47	65	1304
48	65	1279
49	66	1255
50	66	1232
51	66	1209
52	66	1188
53	66	1167
54	66	1147
55	67	1130
56	67	1112
57	67	1095
58	67	1078
59	67	1061
60	67	1044
61	68	1028
62	68	1014
63	68	999
64	68	985
65	68	972
66	68	958
67	68	945
68	69	931
69	69	919
70	69	907
71	69	895
72	69	884
73	69	873
74	69	861
75	70	852
76	70	842
77	70	832
78	70	822
79	70	813
80	70	805
81	71	796
82	71	787
83	71	778
84	71	770
85	71	762
86	71	754
87	72	746
88	72	738
89	72	731
90	72	724
91	72	717
92	72	710
93	73	704
94	73	697
95	73	691
96	73	684
97	73	678
98	73	672
99	74	666
100	74	660
101	74	654
102	74	648
103	74	642
104	74	637
105	74	631
106	75	626
107	75	620
108	75	615
109	75	610
110	75	606
111	75	600
112	75	595
113	76	591
114	76	587
115	76	582
116	76	578
117	76	573
118	76	569
119	77	564
120	77	560
121	77	555
122	77	551
123	77	547
124	77	543
125	77	540
126	78	536
127	78	532
128	78	529
129	78	525
130	78	521
131	78	517
132	78	514
133	78	510
134	79	507
135	79	504
136	79	501
137	79	497
138	79	494
139	79	491
140	80	487
141	80	484
142	80	481
143	80	478
144	80	475
145	80	472
146	80	469
147	81	466
148	81	463
149	81	461
150	81	458
151	81	455
152	81	452
153	82	451
154	82	448
155	82	445
156	82	443
157	82	440
158	82	438
159	82	435
160	83	433
161	83	430
162	83	428
163	87	446
164	87	444
165	95	480
166	98	491
167	98	488
168	98	486
169	99	483
170	99	481
171	99	478
172	99	476
173	99	473
174	99	471
175	100	469
176	100	466
177	100	464
178	100	462
179	101	460
180	101	458
181	101	455
182	101	454
183	101	452
184	102	450
185	102	449
186	102	447
187	103	445
188	103	444
189	103	442
190	105	444
191	105	442
192	105	440
193	105	438
194	105	436
195	106	434
196	106	432
197	106	430
198	106	429
199	106	427
200	106	425
201	107	422
202	107	421
203	107	419
204	107	417
205	107	415
206	108	413
207	108	411
208	108	410
209	108	408
210	108	406
211	108	404
212	108	402
213	109	400
214	109	398
